month,2013,2014,2015,2016,2017,2018,2019
1,NA,-0.008485023783788431,0.019881789732466626,-0.013512737125490034,-0.05586039980948335,-0.04578705673804411,0.0147344877104142
2,-0.0408632428857954,-0.04086324288580201,-0.040863242885801815,-0.0471900296512864,-7.001107886159437e-4,-7.001107886160681e-4,-0.040863242885801856
3,-0.024094836329014577,-0.06752084545209654,-0.011399004335702144,0.007585656570712001,-0.013614766967473053,0.020220996969838652,-0.024094836329014477
4,-0.038841594712739506,-0.0017530964743718957,0.01610645076378966,0.032751703604299506,0.03645707583841569,-0.03340261491295745,-0.03884159471273955
5,0.012577823418877638,0.04568679783749388,0.017436873886154808,0.008384764883238274,-0.02302866258291171,0.034741902572434716,0.012577823418877632
6,0.016720382882977843,-0.017967062092456028,-0.024107657929533576,0.007135226693136159,0.011498828072256037,-0.010879124866827872,0.01672038288297773
7,-0.023028662582911755,0.029725277891557253,0.0044486744932987,0.01743687388615484,-0.02816043569308135,0.002328910046903371,-0.02302866258291173
8,0.03910550395155455,0.015472702108866499,-0.027953307014215664,-0.02960970342145629,0.03474190257243479,0.00444867449329865,0.039105503951554675
9,-0.015102438272844698,-0.015102438272844633,0.020887555109643435,0.019334970861799555,-0.007660104185934914,0.017466661269513746,-0.015102438272844656
10,0.03474190257243474,0.012577823418877657,0.04568679783749396,-0.028160435693081413,0.009994539799245132,-0.023028662582911814,0.034741902572434626
11,-0.008197009329341894,0.013973602142138218,-0.01603104521029924,0.02569490978935966,0.02014492645805498,0.024064696329123777,-0.008197009329341776
12,0.015217881108940888,-0.016506142549286496,0.047948522142213755,0.052519914063196664,0.024611645923142463,-0.020985663656093605,0.015217881108940816
