day,residuals
1,-0.051834206833166446
2,0.10274815120071235
3,0.06477644968721576
4,-0.0017772213078137227
5,-0.028765154703691596
6,-0.04255763285730906
7,-0.004852452102090893
8,-0.013684007204394891
9,-0.08034384811938268
10,-0.04800986448069151
11,0.017537484520619834
12,-0.03391143469607469
13,-0.01370031758697738
14,-0.12892205981445784
15,0.06944846453750676
16,0.1626507986589354
17,0.06214580465177088
18,0.04796037470295865
19,0.032400049123623174
20,-0.019765245628765492
21,0.02292071665735137
22,-0.010564288142840692
23,0.016307208350057598
24,-0.04018812455692258
25,-0.04119943587874407
26,0.00623653366926845
27,0.004332573030936009
28,3.4753935418921074e-4
29,-0.013969830194949219
30,-0.028337625518857466
31,-0.008612762329328099
