date,final,seasonal,seasonal.adjustment,trend,irregular,adjustment.factor
1993-06-01,68868.3507965108,1.00132576817354,68868.3507965108,68647.3328059217,1.00321961511912,1.01159675227085
1993-07-01,69628.183566492,1.00241104144823,69628.183566492,69056.7821967515,1.00827437004106,0.983222547154681
1993-08-01,69559.9540338877,0.957045347184364,69559.9540338877,69406.930929742,1.00220472367955,0.960610180499072
1993-09-01,69720.8092053273,0.935088711459828,69720.8092053273,69725.5816677297,0.999931553638016,0.941153735131723
1993-10-01,69962.3705157013,0.979230606398474,69962.3705157013,70051.1532279277,0.998732601704108,0.947194892218922
1993-11-01,69748.3632754851,0.923904422170515,69748.3632754851,70426.824787246,0.990366433332605,0.948997179167709
1993-12-01,70235.0809121302,1.0473576467326,70235.0809121302,70907.8216865823,0.990512460283638,1.07054763835282
1994-01-01,71829.4139615074,1.18768413655262,71829.4139615074,71473.5821259535,1.00497850849181,1.1682539975193
1994-02-01,72073.7097679756,0.959083741308955,72073.7097679756,72044.1975362325,1.00040964064772,0.950596274571708
1994-03-01,73593.8078418056,1.0885429542903,73593.8078418056,72553.3612396557,1.01434043281211,1.08969765734074
1994-04-01,72957.3045700512,0.962721982219069,72957.3045700512,72969.0525048781,0.999839001132347,0.952968320440669
1994-05-01,73178.9996868907,0.962988145241328,73178.9996868907,73342.5556000293,0.997769972537764,0.966575114481526
1994-06-01,73586.7579176011,0.994976717185383,73586.7579176011,73732.954905146,0.998017209703139,1.00143017691467
1994-07-01,74170.5094093355,0.997031010700198,74170.5094093355,74141.321309267,1.00039368195162,0.964412952932971
1994-08-01,74185.9255742606,0.955366644423054,74185.9255742606,74571.4488136574,0.994830149534037,0.996752408595086
1994-09-01,75248.6336566745,0.943618139671702,75248.6336566745,75025.7871357522,1.0029702656837,0.949572059022524
1994-10-01,75123.4225147816,0.959057440886052,75123.4225147816,75494.4785055174,0.99508499166984,0.943367562707296
1994-11-01,76378.4080572378,0.943445488118893,76378.4080572378,75966.7587699937,1.00541880809329,0.953122771889214
