month,residuals
1,-0.01509492103881733
2,-0.030417994494880276
3,-0.015546760375996293
4,-0.004518559958045677
5,0.015302372033723956
6,-3.8766135430378897e-4
7,-0.002816997678943643
8,0.010676413390272792
9,8.311434711467086e-4
10,0.012716980458315583
11,0.0075626444038845225
12,0.01683816901469732
