"Index","deposit.amount"
2019-07-29,18189
2019-07-30,2316
2019-07-31,10382
2019-08-01,17821
2019-08-02,11441
2019-08-05,14858
2019-08-06,2474
2019-08-07,10443
2019-08-08,2718
2019-08-09,7827
2019-08-12,17145
2019-08-13,1811
2019-08-14,8129
2019-08-15,5627
2019-08-16,16029
2019-08-19,15668
2019-08-20,1979
2019-08-21,10368
2019-08-22,2282
2019-08-23,8448
2019-08-26,17408
2019-08-27,1987
2019-08-28,8281
2019-08-29,2309
2019-08-30,8435
2019-09-03,33537
2019-09-04,5509
2019-09-05,9304
2019-09-06,8046
2019-09-09,17168
2019-09-10,2379
2019-09-11,9132
2019-09-12,2647
2019-09-13,9099
2019-09-16,28624
2019-09-17,2456
2019-09-18,9465
2019-09-19,2276
2019-09-20,7919
2019-09-23,17770
2019-09-24,1799
2019-09-25,8048
2019-09-26,2922
2019-09-27,7157
2019-09-30,16815
2019-10-01,16856
2019-10-02,12394
2019-10-03,4311
2019-10-04,10150
2019-10-07,16385
2019-10-08,2403
2019-10-09,8188
2019-10-10,2748
2019-10-11,7318
2019-10-15,18495
2019-10-16,13742
2019-10-17,7669
2019-10-18,9580
2019-10-21,17139
2019-10-22,1962
2019-10-23,8390
2019-10-24,2220
2019-10-25,6297
2019-10-28,15383
2019-10-29,1815
2019-10-30,8352
2019-10-31,5875
2019-11-01,23580
2019-11-04,19900
2019-11-05,2427
2019-11-06,11303
2019-11-07,2633
2019-11-08,7046
2019-11-12,15811
2019-11-13,3549
2019-11-14,8257
2019-11-15,11085
2019-11-18,26990
2019-11-19,3089
2019-11-20,10145
2019-11-21,3213
2019-11-22,6711
2019-11-25,15414
2019-11-26,3434
2019-11-27,10981
2019-11-29,14892
2019-12-02,28442
2019-12-03,5402
2019-12-04,10436
2019-12-05,2729
2019-12-06,7084
2019-12-09,15642
2019-12-10,3123
2019-12-11,9958
2019-12-12,3112
2019-12-13,10931
2019-12-16,34890
2019-12-17,5097
2019-12-18,11759
2019-12-19,3728
2019-12-20,9444
2019-12-23,22220
2019-12-24,5595
2019-12-26,11692
2019-12-27,8840
2019-12-30,23264
2019-12-31,10195
2020-01-02,32763
2020-01-03,11390
2020-01-06,19550
2020-01-07,3153
2020-01-08,8284
2020-01-09,3282
2020-01-10,8423
2020-01-13,18856
2020-01-14,3233
2020-01-15,12434
2020-01-16,14296
2020-01-17,7935
2020-01-21,18179
2020-01-22,4899
2020-01-23,10214
2020-01-24,9169
2020-01-27,20702
2020-01-28,2512
2020-01-29,9896
2020-01-30,3379
2020-01-31,9895
2020-02-03,39502
2020-02-04,3569
2020-02-05,11868
2020-02-06,3620
2020-02-07,8644
2020-02-10,19821
2020-02-11,2981
2020-02-12,8713
2020-02-13,2921
2020-02-14,9149
2020-02-18,34218
2020-02-19,5626
2020-02-20,11593
2020-02-21,9337
2020-02-24,23918
2020-02-25,2777
2020-02-26,10240
2020-02-27,3921
2020-02-28,10497
2020-03-02,41926
2020-03-03,6093
2020-03-04,10916
2020-03-05,3633
2020-03-06,9617
2020-03-09,27079
2020-03-10,3033
2020-03-11,10101
2020-03-12,3506
2020-03-13,11091
2020-03-16,42234
2020-03-17,3198
2020-03-18,10270
2020-03-19,2529
2020-03-20,8888
2020-03-23,20405
2020-03-24,1968
2020-03-25,8137
2020-03-26,3028
2020-03-27,6620
2020-03-30,16939
2020-03-31,4370
2020-04-01,23356
2020-04-02,7036
2020-04-03,11664
2020-04-06,16339
2020-04-07,1918
2020-04-08,7602
2020-04-09,2614
2020-04-10,6160
2020-04-13,12515
2020-04-14,1982
2020-04-15,10857
2020-04-16,5881
2020-04-17,13680
2020-04-20,15588
2020-04-21,2174
