"Index","deposit.amount"
2015-04-14,2323
2015-04-15,10565
2015-04-16,5905
2015-04-17,11398
2015-04-20,12905
2015-04-21,2087
2015-04-22,9006
2015-04-23,2399
2015-04-24,7996
2015-04-27,15056
2015-04-28,1712
2015-04-29,6974
2015-04-30,4621
2015-05-01,19526
2015-05-04,16666
2015-05-05,3090
2015-05-06,9880
2015-05-07,2219
2015-05-08,7955
2015-05-11,13718
2015-05-12,1857
2015-05-13,6892
2015-05-14,2143
2015-05-15,8698
2015-05-18,22157
2015-05-19,1802
2015-05-20,9587
2015-05-21,2858
2015-05-22,7290
2015-05-26,15338
2015-05-27,3312
2015-05-28,6794
2015-05-29,7341
2015-06-01,25910
2015-06-02,5699
2015-06-03,9213
2015-06-04,2685
2015-06-05,8352
2015-06-08,14396
2015-06-09,1561
2015-06-10,7238
2015-06-11,3033
2015-06-12,5923
2015-06-15,16727
2015-06-16,10227
2015-06-17,7332
2015-06-18,2324
2015-06-19,9384
2015-06-22,14041
2015-06-23,1910
2015-06-24,7009
2015-06-25,3209
2015-06-26,6689
2015-06-29,12864
2015-06-30,4314
2015-07-01,20818
2015-07-02,8997
2015-07-03,6405
2015-07-06,14584
2015-07-07,1943
2015-07-08,7674
2015-07-09,2155
2015-07-10,5901
2015-07-13,12640
2015-07-14,1597
2015-07-15,10454
2015-07-16,10479
2015-07-17,7038
2015-07-20,13909
2015-07-21,2679
2015-07-22,9052
2015-07-23,2505
2015-07-24,6174
2015-07-27,13037
2015-07-28,1581
2015-07-29,6840
2015-07-30,3047
2015-07-31,9825
2015-08-03,29540
2015-08-04,4155
2015-08-05,9849
2015-08-06,2410
2015-08-07,5578
2015-08-10,12937
2015-08-11,2605
2015-08-12,7166
2015-08-13,2638
2015-08-14,8131
2015-08-17,25002
2015-08-18,1727
2015-08-19,8809
2015-08-20,2075
2015-08-21,6001
2015-08-24,13215
2015-08-25,1506
2015-08-26,7623
2015-08-27,2081
2015-08-28,6969
2015-08-31,16180
2015-09-01,15391
2015-09-02,10756
2015-09-03,2178
2015-09-04,9195
2015-09-08,13512
2015-09-09,3100
2015-09-10,6368
2015-09-11,7453
2015-09-14,13879
2015-09-15,6505
2015-09-16,16085
2015-09-17,2614
2015-09-18,8059
2015-09-21,12214
2015-09-22,1540
2015-09-23,7220
2015-09-24,1952
2015-09-25,6984
2015-09-28,14588
2015-09-29,1857
2015-09-30,9627
2015-10-01,16115
2015-10-02,10358
2015-10-05,11963
2015-10-06,1904
2015-10-07,9592
2015-10-08,2418
2015-10-09,7313
