date,deposit.amount,day.count
2009-05-01,126011,20
2009-06-01,133829,22
2009-07-01,131416,23
2009-08-01,126388,21
2009-09-01,125214,21
2009-10-01,124732,21
2009-11-01,127673,19
2009-12-01,154923,22
2010-01-01,140384,19
2010-02-01,139591,19
2010-03-01,164877,23
2010-04-01,139397,22
2010-05-01,126760,20
2010-06-01,144436,22
2010-07-01,131218,21
2010-08-01,135483,22
2010-09-01,132092,21
2010-10-01,131302,20
2010-11-01,138850,20
2010-12-01,169916,23
2011-01-01,152917,20
2011-02-01,144891,19
2011-03-01,162081,23
2011-04-01,138418,21
2011-05-01,140125,21
2011-06-01,137766,22
2011-07-01,132215,20
2011-08-01,142486,23
2011-09-01,134910,21
2011-10-01,137569,20
2011-11-01,134087,20
2011-12-01,162270,21
2012-01-01,158749,20
2012-02-01,158286,20
2012-03-01,166353,22
2012-04-01,148547,21
2012-05-01,143005,22
2012-06-01,139029,21
2012-07-01,144014,21
2012-08-01,145508,23
2012-09-01,133284,19
2012-10-01,140950,21
2012-11-01,140317,20
2012-12-01,181610,19
2013-01-01,160898,20
2013-02-01,163958,19
2013-03-01,186613,21
2013-04-01,163558,22
2013-05-01,162160,22
2013-06-01,150783,20
2013-07-01,165215,22
2013-08-01,154601,22
2013-09-01,160417,20
2013-10-01,156756,22
2013-11-01,159162,19
2013-12-01,194982,21
2014-01-01,184983,21
2014-02-01,177098,19
2014-03-01,203976,21
2014-04-01,167582,22
2014-05-01,162247,21
2014-06-01,170656,21
2014-07-01,164902,22
2014-08-01,160879,21
2014-09-01,163221,20
2014-10-01,168569,22
2014-11-01,163535,18
2014-12-01,210280,22
2015-01-01,182432,19
2015-02-01,186752,19
2015-03-01,210891,21
2015-04-01,178029,22
2015-05-01,169123,20
2015-06-01,180040,22
2015-07-01,179334,23
2015-08-01,176197,21
2015-09-01,171077,21
2015-10-01,169015,21
2015-11-01,176960,19
2015-12-01,201961,21
2016-01-01,191117,19
2016-02-01,207344,20
2016-03-01,216674,23
2016-04-01,182352,21
2016-05-01,185921,21
2016-06-01,180617,22
2016-07-01,177501,20
2016-08-01,192909,23
2016-09-01,178675,21
2016-10-01,182825,20
2016-11-01,178764,20
2016-12-01,216023,21
2017-01-01,217904,20
2017-02-01,203802,19
2017-03-01,218916,23
2017-04-01,190509,20
2017-05-01,197550,22
2017-06-01,195640,22
2017-07-01,194806,20
2017-08-01,181622,22
2017-09-01,186621,20
2017-10-01,190685,20
2017-11-01,186228,19
2017-12-01,230394,20
2018-01-01,237404,21
2018-02-01,200685,19
2018-03-01,229368,22
2018-04-01,194931,21
2018-05-01,186890,22
2018-06-01,185731,21
2018-07-01,192459,21
2018-08-01,191182,23
2018-09-01,177869,19
2018-10-01,196969,22
2018-11-01,186157,20
2018-12-01,234045,20
2019-01-01,211407,21
2019-02-01,209782,19
2019-03-01,237655,21
2019-04-01,213822,22
2019-05-01,203356,22
2019-06-01,193805,20
2019-07-01,210882,22
2019-08-01,193488,22
2019-09-01,202072,20
2019-10-01,197672,22
2019-11-01,200460,19
2019-12-01,243583,21
2020-01-01,232444,21
2020-02-01,222915,19
2020-03-01,255581,22
2020-04-01,182675,22
2020-05-01,22552,1
