day,residuals
1,2.7471268496622197e-17
2,-3.471267562529399e-17
3,3.624468268603876e-17
4,0.0039143616867699125
5,-0.015988815913900837
6,-0.029001353163741177
7,-0.019058354318467953
8,-0.021769018569579315
9,0.0033680102599747534
10,0.01779702591891807
11,0.021564680993525508
12,3.033439293658521e-17
13,0.02216054075459287
14,0.0034765487624806904
15,0.03913234565441869
16,0.00859646075275649
17,-0.010645038472419667
18,0.006900114777644536
19,-0.010861605877119916
20,-0.014893609883747407
21,-0.019481185086473115
22,0.0158436221493483
23,-0.014951419245059112
