year.month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
Feb 2013,0.04086324288579557,0.03738901443410425,0.042180408965671656,0.044474411270818415,0.05155521267355878,0.04843662067825605,0.09005438159819557,0.06766023533866972,0.11077787517875204,0.068437686177103,0.05539292636626669,0.04690854688566404,0.052772482246289165,0.033124368372920765,0.02686098844078333,0.003497782762164503,0.024785909497627268,0.03018714575910475,0.011403714035312484,NA,NA,NA,NA
Mar 2013,0.024094836329014546,0.03770757519086865,0.03508801302556708,0.0353818176500702,0.03401174605410784,0.022708056576191238,0.014235479787962246,0.006003660511892717,0.012235087569114844,0.011153925463560643,0.04291018996263096,-0.02036664668702881,-0.027605759420335052,-0.04043891147053258,-0.04896961925506993,-0.052282977800957475,-0.05312069844474221,-0.05841246175507586,-0.06189471980928796,-0.06308866392611878,-0.048322367936293964,NA,NA
Apr 2013,0.038841594712739624,0.038416361198815085,0.04044746001357069,0.04871613493505533,0.03698286055108846,0.03385471666282691,0.028359079697682033,0.022440910449292417,0.033748089198112785,6.106815447100011e-4,-0.0011597331537820388,0.02501591655403912,0.05794090956117515,0.07084653290165166,0.060294322281529755,0.06973175052066916,0.05620989657087172,0.046279536485096084,0.01505776308659068,-0.0024628499125514125,0.02019353069090113,0.06989420642925759,NA
May 2013,-0.012577823418877587,-0.010328904507729053,0.006062358715566152,-0.019485179388593066,-0.015142878996852738,-0.00791881798345706,-0.015937964461583132,-7.739617079685068e-4,-0.0035058287870247673,-0.028100006694350532,-0.035356004730237034,-0.026130223617611192,-0.005292617375094455,-0.011624485580497113,-0.01693812625394442,-0.007578557770987371,-0.03236949591785199,-0.021485083334372934,-0.02127067998562271,-0.07348434858656439,-0.054690350449439484,-0.03208560905098534,NA
Jun 2013,-0.016720382882977614,-0.014971903660533914,-0.018590360097569758,-0.013819815840862892,-0.014457008925449655,-0.014594313989172547,-0.0022462836919394658,-0.0104565039053649,0.006339098470753424,0.004451481407596658,0.034487032637042114,-0.025892769968459683,-0.026882291340742492,-0.027945708333832475,-0.021709433763552943,-0.022060880171969277,-0.024416987153449976,-0.0402727904579242,0.008853376754689446,-0.038112816772342684,NA,NA,NA
Jul 2013,0.023028662582911696,0.027287921747902066,0.024777338391118953,0.017330133408667958,0.015729541990125773,0.006476487221628968,0.003383093844884444,-0.0017762817530027064,-0.004601900998021935,0.01678116885659353,0.010227637252859578,0.009563879484229654,0.009750023321641654,0.01579543913807857,8.873310953887437e-4,-0.011565693840775215,-0.010964589509525724,-0.023281116964051884,-0.034855206830290975,-0.0563953946891913,-0.022280352309057228,0.0031462987129360354,NA
Aug 2013,-0.03910550395155454,-0.029664031328166973,-0.037723779816616454,-0.04038286628319354,-0.04502919440169573,-0.053528093551960865,-0.05786641646075508,-0.06898791736215326,-0.053971984380862925,-0.05833873025070946,-0.07024470638766522,-0.04742503269834042,-0.0350210623483701,-0.033707138649407,-0.03950055507088168,-0.05868784782850256,-0.07115971254804232,-0.08162640787393438,-0.05955445461648723,-0.06600218035535099,-0.06880423219573051,-0.029998572999128337,NA
Sep 2013,0.015102438272844632,0.010683325572279356,0.016604666103013033,0.02096094058365261,0.020135018729334986,0.01553648434736754,0.0013444781751088541,-0.005789581553743095,-0.01740696053402191,-0.006283769867716504,-0.016014230898118487,0.01867695439155237,0.057779201717266915,0.0458390391091128,0.07554944121938045,0.06898234610794662,0.036093686949945525,-0.00610412498521995,0.1553388064546457,0.005991071810351745,NA,NA,NA
Oct 2013,-0.03474190257243481,-0.036872607314243244,-0.036854225546464114,-0.04004634291770748,-0.037509730321832246,-0.0328781172631436,-0.04339262864966187,-0.041357013567653755,-0.04634645872165222,-0.06588590382683035,-0.05727895970889374,-0.02421272804701513,-0.06367508748993411,-0.02441094024639745,-0.0026445370032512905,-0.017808569505912475,-0.021106074180148537,-0.03156675154220734,-0.0778926675244418,-0.058582467095650737,-0.09620789213265124,-0.07013489139438378,NA
Nov 2013,0.008197009329341975,0.03183848713772153,0.05167710927969682,0.05817399976442128,0.059735304224445285,0.06951371965739983,0.06698644658720831,0.08979502411247386,0.09132471699406275,0.06903399263283805,0.03556216721927541,0.08369629209816787,0.033428119114027766,0.03901141695727328,0.07308651751405137,0.05544610698034114,0.11525850804154225,0.1270047575731832,0.1736651902151607,NA,NA,NA,NA
Dec 2013,-0.015217881108940956,-0.014947246176245987,-0.009038951756696112,-0.0033567611826645916,-0.0037497092608196336,-0.001806462747437343,0.02948079045397889,0.05100154058356132,0.046767395601489126,0.06365154848840349,0.0767267667287288,0.10758168651004385,0.1579698281101538,0.14500289919976095,0.1574410055650044,0.16517106652964042,0.15852522706774197,0.17854402559874782,0.14242041497673297,0.1691037208804267,0.15332723598008968,NA,NA
Jan 2014,0.008485023783788348,0.01760442840270149,0.010860527069870063,0.013659240615132573,0.018384663253519395,0.01348473910688086,0.0059624477079209814,0.040531127989118954,0.01145902534762766,0.004102517213967705,0.007365877537393484,-2.7563422965226625e-4,0.037303876625907506,0.0413790848497253,0.013636990681258343,-0.003916806056588951,-0.023285932397612785,-0.044757954810118905,0.027670664672478473,-0.030404513403363365,-0.04067080478294838,NA,NA
Feb 2014,0.04086324288580179,0.05293428747745965,0.05049238413905455,0.052345927892258226,0.05019373443873354,0.06300639366352834,0.05893710655841056,0.0967511480071701,0.07152053598157693,0.13756157312179518,0.07819760913039842,0.06339638567921568,0.05517455491929946,0.07425018631070013,0.052210164346760735,0.004532542119298322,-0.019626111343496677,-0.017976318116365797,-0.046629689962475185,NA,NA,NA,NA
