day,1,2,3,4,5,6,7,8,9,10,11,12
1,1.0940288840509173e-15,-0.03004665345917495,0.25776820585416843,-0.058635640741884335,1.0915307496507406e-4,0.007945014957046595,0.041653669577386754,0.06275064276255299,-0.012514974642132705,-0.028272100959337524,-0.24075731642359116,2.3009813368517183e-16
2,-0.05109191368468727,-0.09573979751785174,-0.04705962296691094,0.024562863231003266,0.043078132977877104,-0.00880760920321808,0.1092616517754185,0.11850178189682287,-0.10731722853436099,0.11550133655607027,-0.005060387347581296,-0.1031280519946803
3,0.053572033172506806,-0.12006036208813489,-0.040369096721416864,0.030988065522411443,0.08690193428757986,0.02803163977710507,0.12451007632866239,0.047186868246100425,0.008767692213202425,-0.06455863719225885,0.003971797393648624,-0.1512888633433336
4,0.018683630441351934,-0.031631583680634595,-0.16419591640476822,0.010278758699602009,0.04156987261776011,0.01758041894384171,-0.022796229177089865,0.05089207841177755,0.02845543556722057,0.04153976524628206,0.076896714342088765,-0.0181907092298242
5,-0.12767338022349947,-0.10491822744678697,0.0227955834606729,-0.030220099558600468,0.059700276124812345,0.006564487111460328,0.006787108905577385,-0.00843158984537185,0.0026111279084956142,0.02957643480442189,0.015437005762241406,-0.08004945572874723
6,-0.10280482011347684,-0.1233128501686964,0.0420687266297946,0.03586618382802173,0.03941079133224981,-0.025597222871349683,-0.04901315998901104,-0.021158006970310637,0.010770258157519879,0.052434318742141786,-0.043941196681881824,-0.1732826122812863
7,-0.13333811350330854,-0.027827501563071986,0.13500279876664,-0.007084880012790268,-0.03361092155369532,-0.04706926933334317,-0.040990010245854185,-0.04564278200088366,0.026483584868347065,-0.01012118979537999,0.009580885576700024,-0.07040853290852406
8,-0.07212086424673245,-0.059064083145423975,0.08610000909279387,-0.020945445599642187,-0.013788654003178842,-0.04305118894319821,-0.06253675479861201,0.010189227772208431,-0.00948388168408389,0.021546450484283743,-0.03199092943888853,-0.07327522913549962
9,0.015909170006309183,-0.053422551183518616,0.11975732142787851,0.01926863605520027,-0.03798527891284619,-0.0027835476876958503,-0.037573524228391685,0.030461578433442722,0.11599751813694141,-0.00866267860082017,-0.07433801884212007,-0.04442090723520614
10,-0.07254477568503709,0.0339046555225686,0.18430137093064658,0.04563906739632388,-0.06661314373336606,0.002175578477542336,-0.00870105673527947,0.03292154136499911,0.0523665446019827,0.021673997930340357,-0.05266582863334213,0.02820038793193015
11,0.06305662470665589,-0.003975148471093276,0.07608712810734,-0.2069947123272832,-0.04177437271218122,0.1513493010621576,0.032084975612124034,0.05777175214244689,0.04017588632025948,0.07111446849917225,-0.017500049642539327,0.04330773915569415
12,-0.07110956355009383,0.01289053333142314,-0.05142928165645785,0.520791927723537,-0.031009489128534472,-0.019216193202796463,-0.07840358539351792,-0.007556514893262025,-0.09597439845282506,-0.14618388958641926,-0.05195616628189956,0.008998112012261783
13,-0.00969905908683557,0.05283830801696869,-0.082619391919533,-0.10706724841038014,0.005025049167622177,0.07197762948640157,0.06770303368928161,0.06414341288498948,0.016809569502790972,0.001882196981899097,0.10689432289237137,0.07348729444361983
14,-0.037026485386006225,-0.02325867808506486,-0.03033098934538977,-0.09757985765486991,0.06617315542807936,0.006780318878832064,0.020047549461842413,-0.09494011747983826,-0.11845666494836693,0.12278997042453249,0.11235635795645864,0.10937787816406115
15,0.011455976704819359,0.040341632870998824,-0.10030574976038735,0.04631348040727113,0.10687451351367641,0.06092030846457441,-0.06942760496586818,0.05843114474937219,-0.00902433933229057,0.03941163236399376,0.09373170665385809,0.1869116791902063
16,-0.012183790065700377,0.06328401776207407,-0.1219984531216613,0.03756377819443024,0.09130827974575338,-3.9783123247159186e-4,-0.023441753348512482,-0.039785962028230835,-0.015635496150893758,-0.003383206472199257,-0.02190524849313522,0.14676458698384545
17,0.006928334090945763,0.01253668935268877,-0.08750037697283364,-0.039608277570241275,0.02480401567354314,-0.061772156792454534,-0.0450536736712279,-0.0461288129221784,-0.008164324484195875,-0.010668345517585791,0.050576671248523226,0.07882027769074701
18,0.041686882898959346,0.07175135138582417,-0.13857826991036376,-0.03392428322213701,-4.408916106475274e-4,-0.030255491880142975,-0.043698872561099215,0.04096164471165589,0.03346485130241605,-0.0426916055040962,0.1282365276652113,0.06125907235919935
19,0.007591292282316374,0.025432253836084846,-0.049322217986357136,-0.02267189670134944,0.0016627609085597007,0.031002592556191293,-0.0030492571449186,0.0577236433928479,-0.015460898360197478,-0.03921455652292217,-0.06585053606787117,-0.06340188386515383
20,-0.00407424243991962,0.19009907526831005,-0.07726846124091664,-0.03535813929041556,-0.03746431984072758,-0.04435663316950217,0.040895233407590985,-0.03699476819383876,-0.04828366723866634,-0.0336930533330367,-0.05287017303334558,0.10909459337677307
21,0.0032785448665096383,NA,-0.047980988015065576,-0.07246201627650647,-0.04728242827633572,-0.03216867326434626,-0.03570754683384923,0.020658770614585858,0.0032845419391808843,-0.017523834313225073,NA,0.06535546065789892
22,NA,NA,-0.07644106758219671,-0.02487243048554143,0.02922395610272685,0.05345435437594134,0.013606028801089503,-0.002101758895250553,NA,0.052859569089740245,NA,0.12783274119702945
23,NA,NA,-0.06651747531727559,NA,NA,NA,0.1693402120734785,-0.05553117883211144,NA,NA,NA,NA
